name,pokedexNumber,image,generation,evolutionStage,evolved,familyID,crossGen,type1,type2,weather1,weather2,statTotal,atk,def,sta,legendary,aquireable,spawns,regional,raidable,hatchable,shiny,nest,new,notGettable,futureEvolve,cp40,cp39
Bulbasaur,1,https://cdn.traction.one/pokedex/pokemon/1.png,1,1,0,1,0,grass,poison,Sunny/clear,Cloudy,326,118,118,90,0,1,1,0,0,5,0,1,0,0,0,981,967
Ivysaur,2,https://cdn.traction.one/pokedex/pokemon/2.png,1,2,0,1,0,grass,poison,Sunny/clear,Cloudy,422,151,151,120,0,1,1,0,0,0,0,0,0,0,0,1552,1529
Venusaur,3,https://cdn.traction.one/pokedex/pokemon/3.png,1,3,1,1,0,grass,poison,Sunny/clear,Cloudy,556,198,198,160,0,1,1,0,0,0,0,0,0,0,0,2568,2531
Charmander,4,https://cdn.traction.one/pokedex/pokemon/4.png,1,1,0,2,0,fire,,Sunny/clear,,290,116,96,78,0,1,1,0,0,5,0,1,0,0,0,831,819
Charmeleon,5,https://cdn.traction.one/pokedex/pokemon/5.png,1,2,0,2,0,fire,,Sunny/clear,,403,158,129,116,0,1,1,0,0,0,0,0,0,0,0,1484,1462
Charizard,6,https://cdn.traction.one/pokedex/pokemon/6.png,1,3,1,2,0,fire,flying,Sunny/clear,Windy,555,223,176,156,0,1,1,0,0,0,0,0,0,0,0,2686,2648
Squirtle,7,https://cdn.traction.one/pokedex/pokemon/7.png,1,1,0,3,0,water,,Rainy,,304,94,122,88,0,1,1,0,0,5,0,1,0,0,0,808,797
Wartortle,8,https://cdn.traction.one/pokedex/pokemon/8.png,1,2,0,3,0,water,,Rainy,,399,126,155,118,0,1,1,0,0,0,0,0,0,0,0,1324,1305
Blastoise,9,https://cdn.traction.one/pokedex/pokemon/9.png,1,3,1,3,0,water,,Rainy,,539,171,210,158,0,1,1,0,0,0,0,0,0,0,0,2291,2259
Caterpie,10,https://cdn.traction.one/pokedex/pokemon/10.png,1,1,0,4,0,bug,,Rainy,,207,55,62,90,0,1,1,0,0,0,0,1,0,0,0,393,387
Metapod,11,https://cdn.traction.one/pokedex/pokemon/11.png,1,2,0,4,0,bug,,Rainy,,239,45,94,100,0,1,1,0,0,0,0,0,0,0,0,419,413
Butterfree,12,https://cdn.traction.one/pokedex/pokemon/12.png,1,3,0,4,0,bug,flying,Rainy,Windy,438,167,151,120,0,1,1,0,0,0,0,0,0,0,0,1701,1677
Weedle,13,https://cdn.traction.one/pokedex/pokemon/13.png,1,1,0,5,0,bug,poison,Rainy,Cloudy,198,63,55,80,0,1,1,0,0,0,0,1,0,0,0,397,391
Kakuna,14,https://cdn.traction.one/pokedex/pokemon/14.png,1,2,0,5,0,bug,poison,Rainy,Cloudy,222,46,86,90,0,1,1,0,0,0,0,0,0,0,0,392,386
Beedrill,15,https://cdn.traction.one/pokedex/pokemon/15.png,1,3,0,5,0,bug,poison,Rainy,Cloudy,449,169,150,130,0,1,1,0,0,0,0,0,0,0,0,1777,1752
Pidgey,16,https://cdn.traction.one/pokedex/pokemon/16.png,1,1,0,6,0,normal,flying,Partly cloudy,Windy,241,85,76,80,0,1,1,0,0,0,0,1,0,0,0,580,572
Pidgeotto,17,https://cdn.traction.one/pokedex/pokemon/17.png,1,2,0,6,0,normal,flying,Partly cloudy,Windy,351,117,108,126,0,1,1,0,0,0,0,0,0,0,0,1085,1070
Pidgeot,18,https://cdn.traction.one/pokedex/pokemon/18.png,1,3,0,6,0,normal,flying,Partly cloudy,Windy,489,166,157,166,0,1,1,0,0,0,0,0,0,0,0,1994,1966
Rattata,19,https://cdn.traction.one/pokedex/pokemon/19.png,1,1,0,7,0,normal,,Partly cloudy,,233,103,70,60,0,1,1,0,0,0,0,1,0,0,0,588,580
Raticate,20,https://cdn.traction.one/pokedex/pokemon/20.png,1,2,0,7,0,normal,,Partly cloudy,,415,161,144,110,0,1,1,0,0,0,0,0,0,0,0,1549,1527
Spearow,21,https://cdn.traction.one/pokedex/pokemon/21.png,1,1,0,8,0,normal,flying,Partly cloudy,Windy,253,112,61,80,0,1,1,0,0,0,0,1,0,0,0,673,664
Fearow,22,https://cdn.traction.one/pokedex/pokemon/22.png,1,2,1,8,0,normal,flying,Partly cloudy,Windy,447,182,135,130,0,1,1,0,0,0,0,0,0,0,0,1814,1788
Ekans,23,https://cdn.traction.one/pokedex/pokemon/23.png,1,1,0,9,0,poison,,Cloudy,,282,110,102,70,0,1,1,0,0,0,0,1,0,0,0,778,767
Arbok,24,https://cdn.traction.one/pokedex/pokemon/24.png,1,2,1,9,0,poison,,Cloudy,,445,167,158,120,0,1,1,0,0,0,0,0,0,0,0,1737,1712
Pikachu,25,https://cdn.traction.one/pokedex/pokemon/25.png,1,1,0,10,0,electric,,Rainy,,283,112,101,70,0,1,1,0,0,0,1,1,0,0,0,787,776
Raichu,26,https://cdn.traction.one/pokedex/pokemon/26.png,1,2,1,10,0,electric,,Rainy,,478,193,165,120,0,1,1,0,0,0,1,0,0,0,0,2025,1996
Sandshrew,27,https://cdn.traction.one/pokedex/pokemon/27.png,1,1,0,11,0,ground,,Sunny/clear,,371,126,145,100,0,1,1,0,0,0,0,1,0,0,0,1194,1177
Sandslash,28,https://cdn.traction.one/pokedex/pokemon/28.png,1,2,1,11,0,ground,,Sunny/clear,,534,182,202,150,0,1,1,0,0,0,0,0,0,0,0,2328,2294
Nidoran F,29,https://cdn.traction.one/pokedex/pokemon/29.png,1,1,0,12,0,poison,,Cloudy,,290,86,94,110,0,1,1,0,0,0,0,0,0,0,0,736,725
Nidorina,30,https://cdn.traction.one/pokedex/pokemon/30.png,1,2,0,12,0,poison,,Cloudy,,383,117,126,140,0,1,1,0,0,0,0,0,0,0,0,1218,1201
Nidoqueen,31,https://cdn.traction.one/pokedex/pokemon/31.png,1,3,1,12,0,poison,ground,Cloudy,Sunny/clear,534,180,174,180,0,1,1,0,0,0,0,0,0,0,0,2338,2304
Nidoran M,32,https://cdn.traction.one/pokedex/pokemon/32.png,1,1,0,13,0,poison,,Cloudy,,273,105,76,92,0,1,1,0,0,0,0,0,0,0,0,739,729
Nidorino,33,https://cdn.traction.one/pokedex/pokemon/33.png,1,2,0,13,0,poison,,Cloudy,,371,137,112,122,0,1,1,0,0,0,0,0,0,0,0,1252,1234
Nidoking,34,https://cdn.traction.one/pokedex/pokemon/34.png,1,3,1,13,0,poison,ground,Cloudy,Sunny/clear,523,204,157,162,0,1,1,0,0,0,0,0,0,0,0,2386,2352
Clefairy,35,https://cdn.traction.one/pokedex/pokemon/35.png,1,1,0,14,0,fairy,,Cloudy,,363,107,116,140,0,1,1,0,0,0,0,1,0,0,0,1085,1070
Clefable,36,https://cdn.traction.one/pokedex/pokemon/36.png,1,2,1,14,0,fairy,,Cloudy,,539,178,171,190,0,1,1,0,0,0,0,0,0,0,0,2353,2320
Vulpix,37,https://cdn.traction.one/pokedex/pokemon/37.png,1,1,0,15,0,fire,,Sunny/clear,,294,96,122,76,0,1,1,0,0,0,0,1,0,0,0,774,763
Ninetales,38,https://cdn.traction.one/pokedex/pokemon/38.png,1,2,1,15,0,fire,,Sunny/clear,,519,169,204,146,0,1,1,0,0,0,0,0,0,0,0,2157,2127
Jigglypuff,39,https://cdn.traction.one/pokedex/pokemon/39.png,1,1,0,16,0,normal,fairy,Partly cloudy,Cloudy,354,80,44,230,0,1,1,0,0,0,0,1,0,0,0,713,703
Wigglytuff,40,https://cdn.traction.one/pokedex/pokemon/40.png,1,2,1,16,0,normal,fairy,Partly cloudy,Cloudy,529,156,93,280,0,1,1,0,0,0,0,0,0,0,0,1906,1879
Zubat,41,https://cdn.traction.one/pokedex/pokemon/41.png,1,1,0,17,0,poison,flying,Cloudy,Windy,239,83,76,80,0,1,1,0,0,0,0,1,0,0,0,569,560
Golbat,42,https://cdn.traction.one/pokedex/pokemon/42.png,1,2,0,17,0,poison,flying,Cloudy,Windy,464,161,153,150,0,1,1,0,0,0,0,0,0,0,0,1830,1804
Oddish,43,https://cdn.traction.one/pokedex/pokemon/43.png,1,1,0,18,0,grass,poison,Sunny/clear,Cloudy,337,131,116,90,0,1,1,0,0,2,0,1,0,0,0,1069,1054
Gloom,44,https://cdn.traction.one/pokedex/pokemon/44.png,1,2,0,18,0,grass,poison,Sunny/clear,Cloudy,412,153,139,120,0,1,1,0,0,0,0,0,0,0,0,1512,1491
Vileplume,45,https://cdn.traction.one/pokedex/pokemon/45.png,1,3,1,18,0,grass,poison,Sunny/clear,Cloudy,522,202,170,150,0,1,1,0,0,0,0,0,0,0,0,2367,2334
Paras,46,https://cdn.traction.one/pokedex/pokemon/46.png,1,1,0,19,0,bug,grass,Rainy,Sunny/clear,290,121,99,70,0,1,1,0,0,0,0,1,0,0,0,836,824
Parasect,47,https://cdn.traction.one/pokedex/pokemon/47.png,1,2,1,19,0,bug,grass,Rainy,Sunny/clear,431,165,146,120,0,1,1,0,0,0,0,0,0,0,0,1657,1633
Venonat,48,https://cdn.traction.one/pokedex/pokemon/48.png,1,1,0,20,0,bug,poison,Rainy,Cloudy,322,100,102,120,0,1,1,0,0,0,0,1,0,0,0,902,889
Venomoth,49,https://cdn.traction.one/pokedex/pokemon/49.png,1,2,1,20,0,bug,poison,Rainy,Cloudy,469,179,150,140,0,1,1,0,0,0,0,0,0,0,0,1937,1910
Diglett,50,https://cdn.traction.one/pokedex/pokemon/50.png,1,1,0,21,0,ground,,Sunny/clear,,217,109,88,20,0,1,1,0,0,0,0,1,0,0,0,465,458
Dugtrio,51,https://cdn.traction.one/pokedex/pokemon/51.png,1,2,1,21,0,ground,,Sunny/clear,,384,167,147,70,0,1,1,0,0,0,0,0,0,0,0,1333,1314
Meowth,52,https://cdn.traction.one/pokedex/pokemon/52.png,1,1,0,23,0,normal,,Partly cloudy,,253,92,81,80,0,1,1,0,0,0,0,1,0,0,0,638,629
Persian,53,https://cdn.traction.one/pokedex/pokemon/53.png,1,2,1,23,0,normal,,Partly cloudy,,419,150,139,130,0,1,1,0,0,0,0,0,0,0,0,1539,1517
Psyduck,54,https://cdn.traction.one/pokedex/pokemon/54.png,1,1,0,24,0,water,,Rainy,,318,122,96,100,0,1,1,0,0,0,0,1,0,0,0,966,952
Golduck,55,https://cdn.traction.one/pokedex/pokemon/55.png,1,2,1,24,0,water,,Rainy,,514,191,163,160,0,1,1,0,0,0,0,0,0,0,0,2270,2238
Mankey,56,https://cdn.traction.one/pokedex/pokemon/56.png,1,1,0,25,0,fighting,,Cloudy,,315,148,87,80,0,1,1,0,0,0,0,1,0,0,0,1002,987
Primeape,57,https://cdn.traction.one/pokedex/pokemon/57.png,1,2,1,25,0,fighting,,Cloudy,,481,207,144,130,0,1,1,0,0,0,0,0,0,0,0,2105,2075
Growlithe,58,https://cdn.traction.one/pokedex/pokemon/58.png,1,1,0,26,0,fire,,Sunny/clear,,342,136,96,110,0,1,1,0,0,5,0,1,0,0,0,1110,1095
Arcanine,59,https://cdn.traction.one/pokedex/pokemon/59.png,1,2,1,26,0,fire,,Sunny/clear,,573,227,166,180,0,1,1,0,0,0,0,0,0,0,0,2839,2799
Poliwag,60,https://cdn.traction.one/pokedex/pokemon/60.png,1,1,0,27,0,water,,Rainy,,263,101,82,80,0,1,1,0,0,0,0,1,0,0,0,695,685
Poliwhirl,61,https://cdn.traction.one/pokedex/pokemon/61.png,1,2,0,27,0,water,,Rainy,,390,130,130,130,0,1,1,0,0,0,0,0,0,0,0,1313,1294
Poliwrath,62,https://cdn.traction.one/pokedex/pokemon/62.png,1,3,1,27,0,water,fighting,Rainy,Cloudy,549,182,187,180,0,1,1,0,0,0,0,0,0,0,0,2441,2407
Abra,63,https://cdn.traction.one/pokedex/pokemon/63.png,1,1,0,28,0,psychic,,Windy,,348,195,103,50,0,1,1,0,0,2,0,1,0,0,0,1148,1132
Kadabra,64,https://cdn.traction.one/pokedex/pokemon/64.png,1,2,0,28,0,psychic,,Windy,,450,232,138,80,0,1,1,0,0,0,0,0,0,0,0,1859,1833
Alakazam,65,https://cdn.traction.one/pokedex/pokemon/65.png,1,3,1,28,0,psychic,,Windy,,575,271,194,110,0,1,1,0,0,0,0,0,0,0,0,2887,2845
Machop,66,https://cdn.traction.one/pokedex/pokemon/66.png,1,1,0,29,0,fighting,,Cloudy,,365,137,88,140,0,1,1,0,0,2,0,1,0,0,0,1199,1182
Machoke,67,https://cdn.traction.one/pokedex/pokemon/67.png,1,2,0,29,0,fighting,,Cloudy,,467,177,130,160,0,1,1,0,0,0,0,0,0,0,0,1910,1882
Machamp,68,https://cdn.traction.one/pokedex/pokemon/68.png,1,3,1,29,0,fighting,,Cloudy,,576,234,162,180,0,1,1,0,3,0,0,0,0,0,0,2889,2848
Bellsprout,69,https://cdn.traction.one/pokedex/pokemon/69.png,1,1,0,30,0,grass,poison,Sunny/clear,Cloudy,303,139,64,100,0,1,1,0,0,0,0,1,0,0,0,916,903
Weepinbell,70,https://cdn.traction.one/pokedex/pokemon/70.png,1,2,0,30,0,grass,poison,Sunny/clear,Cloudy,397,172,95,130,0,1,1,0,0,0,0,0,0,0,0,1475,1453
Victreebel,71,https://cdn.traction.one/pokedex/pokemon/71.png,1,3,1,30,0,grass,poison,Sunny/clear,Cloudy,505,207,138,160,0,1,1,0,0,0,0,0,0,0,0,2268,2236
Tentacool,72,https://cdn.traction.one/pokedex/pokemon/72.png,1,1,0,31,0,water,poison,Rainy,Cloudy,359,97,182,80,0,1,1,0,0,0,0,1,0,0,0,956,943
Tentacruel,73,https://cdn.traction.one/pokedex/pokemon/73.png,1,2,1,31,0,water,poison,Rainy,Cloudy,563,166,237,160,0,1,1,0,0,0,0,0,0,0,0,2374,2340
Geodude,74,https://cdn.traction.one/pokedex/pokemon/74.png,1,1,0,32,0,rock,ground,Partly cloudy,Sunny/clear,375,132,163,80,0,1,1,0,0,0,0,1,0,0,0,1193,1176
Graveler,75,https://cdn.traction.one/pokedex/pokemon/75.png,1,2,0,32,0,rock,ground,Partly cloudy,Sunny/clear,470,164,196,110,0,1,1,0,0,0,0,0,0,0,0,1815,1789
Golem,76,https://cdn.traction.one/pokedex/pokemon/76.png,1,3,1,32,0,rock,ground,Partly cloudy,Sunny/clear,600,211,229,160,0,1,1,0,4,0,0,0,0,0,0,2916,2875
Ponyta,77,https://cdn.traction.one/pokedex/pokemon/77.png,1,1,0,33,0,fire,,Sunny/clear,,402,170,132,100,0,1,1,0,0,5,0,1,0,0,0,1502,1480
Rapidash,78,https://cdn.traction.one/pokedex/pokemon/78.png,1,2,1,33,0,fire,,Sunny/clear,,504,207,167,130,0,1,1,0,0,0,0,0,0,0,0,2252,2220
Slowpoke,79,https://cdn.traction.one/pokedex/pokemon/79.png,1,1,0,34,0,water,psychic,Rainy,Windy,398,109,109,180,0,1,1,0,0,2,0,1,0,0,0,1204,1187
Slowbro,80,https://cdn.traction.one/pokedex/pokemon/80.png,1,2,1,34,0,water,psychic,Rainy,Windy,561,177,194,190,0,1,1,0,0,0,0,0,0,0,0,2482,2446
Magnemite,81,https://cdn.traction.one/pokedex/pokemon/81.png,1,1,0,35,0,electric,steel,Rainy,Snow,343,165,128,50,0,1,1,0,0,0,0,1,0,0,1,1083,1068
Magneton,82,https://cdn.traction.one/pokedex/pokemon/82.png,1,2,1,35,0,electric,steel,Rainy,Snow,505,223,182,100,0,1,1,0,0,0,0,0,0,0,1,2237,2205
Farfetchd,83,https://cdn.traction.one/pokedex/pokemon/83.png,1,1,0,36,0,normal,flying,Partly cloudy,Windy,346,124,118,104,0,1,1,1,0,0,0,0,0,0,0,1092,1076
Doduo,84,https://cdn.traction.one/pokedex/pokemon/84.png,1,1,0,37,0,normal,flying,Partly cloudy,Windy,316,158,88,70,0,1,1,0,0,0,0,1,0,0,0,1011,996
Dodrio,85,https://cdn.traction.one/pokedex/pokemon/85.png,1,2,1,37,0,normal,flying,Partly cloudy,Windy,483,218,145,120,0,1,1,0,0,0,0,0,0,0,0,2138,2108
Seel,86,https://cdn.traction.one/pokedex/pokemon/86.png,1,1,0,38,0,water,,Rainy,,343,85,128,130,0,1,1,0,0,5,0,1,0,0,0,899,886
Dewgong,87,https://cdn.traction.one/pokedex/pokemon/87.png,1,2,1,38,0,water,ice,Rainy,Snow,503,139,184,180,0,1,1,0,0,0,0,0,0,0,0,1894,1867
Grimer,88,https://cdn.traction.one/pokedex/pokemon/88.png,1,1,0,39,0,poison,,Cloudy,,385,135,90,160,0,1,1,0,0,5,0,0,0,0,0,1269,1251
Muk,89,https://cdn.traction.one/pokedex/pokemon/89.png,1,2,1,39,0,poison,,Cloudy,,584,190,184,210,0,1,1,0,0,0,0,0,0,0,0,2709,2670
Shellder,90,https://cdn.traction.one/pokedex/pokemon/90.png,1,1,0,40,0,water,,Rainy,,344,116,168,60,0,1,1,0,0,5,0,1,0,0,0,958,944
Cloyster,91,https://cdn.traction.one/pokedex/pokemon/91.png,1,2,1,40,0,water,ice,Rainy,Snow,609,186,323,100,0,1,1,0,0,0,0,0,0,0,0,2475,2439
Gastly,92,https://cdn.traction.one/pokedex/pokemon/92.png,1,1,0,41,0,ghost,poison,Fog,Cloudy,316,186,70,60,0,1,1,0,0,2,0,1,0,0,0,1002,988
Haunter,93,https://cdn.traction.one/pokedex/pokemon/93.png,1,2,0,41,0,ghost,poison,Fog,Cloudy,425,223,112,90,0,1,1,0,0,0,0,0,0,0,0,1716,1692
Gengar,94,https://cdn.traction.one/pokedex/pokemon/94.png,1,3,1,41,0,ghost,poison,Fog,Cloudy,537,261,156,120,0,1,1,0,3,0,0,0,0,0,0,2619,2581
Onix,95,https://cdn.traction.one/pokedex/pokemon/95.png,1,1,0,42,0,rock,ground,Partly cloudy,Sunny/clear,443,85,288,70,0,1,1,0,0,5,0,1,0,0,0,1002,988
Drowzee,96,https://cdn.traction.one/pokedex/pokemon/96.png,1,1,0,43,0,psychic,,Windy,,367,89,158,120,0,1,1,0,0,0,0,1,0,0,0,992,978
Hypno,97,https://cdn.traction.one/pokedex/pokemon/97.png,1,2,1,43,0,psychic,,Windy,,529,144,215,170,0,1,1,0,0,0,0,0,0,0,0,2048,2019
